Login, Nome, #Repository, #Followers, #Commits
larsyx, Gabriele, 4, 0, 57
jacquev6, Vincent Jacques, 35, 87, 3476
s-t-e-v-e-n-k, Steve Kowalik, 66, 18, 51
sfdye, Liuyang Wan, 96, 205, 1090
project-delphi, Ravi Kalia, 164, 159, 633
elye, Elye, 229, 436, 955
am-523, Project AM, 293, 315, 430
subchen, Q, 82, 286, 2609
cd-glacier, Hyoga_Yoshida, 68, 49, 1872
diutsu, Gon alo Sousa, 46, 41, 423
kyleap, Kyle Shen, 20, 40, 79
sn00pyd0g3, fEng, 10, 81, 14
arnabwahid, Arnab Wahid, 9, 45, 128
leaderliang, dev.liang, 150, 16, 294
ttp3r, Talita, 11, 76, 32
qrousset, Q, 11, 36, 140
5168Q, Q, 14, 30, 0
qzqsmile, Q_Q, 40, 11, 505
khzliu, kevin, 28, 6, 128
abodehq, Abed Allateef Qaisi, 36, 129, 232
samleoqh, Q.Liu, 60, 33, 188
PandaQAQ, PandaQ, 20, 55, 429
russhwolf, Russell Wolf, 32, 155, 888
Stray, Stray, 48, 132, 174
Methimpact, methimpact, 142, 117, 63
Middi, Richard Middleton, 133, 105, 1701
petermuessig, Peter Muessig, 38, 152, 115
fntsrlike, Yuehu Lin, 89, 60, 97
nooges, Danny, 33, 89, 582
Gift-Ojeabulu, GiftOjeabulu, 34, 91, 825
korecodes, Ayomide, 79, 40, 58
jerryOkafor, Jerry Hanks Okafor, 140, 56, 678
cydal, Sijuade Oguntayo, 49, 17, 320
adefemi, Adefemi Oseni, 57, 79, 147
Crowntopsss, Adebiyi Temitope, 39, 8, 163
Leigh-Ola, Leigh Ola, 69, 11, 125
wizardcalidad, Qoyum Yusuf, 110, 22, 273
ProsperChuks, Prosper Chuks, 53, 23, 576
Bolaji61, Omobolaji Popoola, 48, 10, 322
peacelovingng, Alamu Olawale Ahmed, 274, 16, 117
damilare-akin, Damilare Akin-Oladejo, 19, 15, 179
ejiro-precious, Ejiroghene Oghojafor, 83, 10, 15
teevyne, Tolulope Ayemobola, 70, 34, 130
Robogeek95, Azeez Lukman, 87, 24, 587
Law101, Lawrence Okegbemi, 80, 24, 178
dayaki, Dayo Akinkuowo, 32, 12, 303
makozi, MARIZU-IBEWIRO MAKOZI, 198, 9, 595
Sillians, Basil Ihuoma , 93, 8, 309
Fatimah019, Davies Fatimah Omowonuola, 80, 6, 506
gate3, Doyin Olarewaju, 128, 38, 564
oladapo-joseph, Adeleke Oladapo Joseph, 24, 6, 211
alliwene, Abiodun Allison, 32, 8, 315
sotunboolamide, Dav, 48, 11, 74
Mosh094, MOSHOOD YAHAYA, 25, 7, 97
haywhyze, Yusuf Abdulkarim, 111, 19, 1617
Humiditii, Babatunde AbdulHameed, 106, 7, 371
Tobiadefami, Oluwatobi Adefami, 36, 5, 113
toyinolape, ToyinO, 16, 12, 130
AgboolaMubarak, Agboola Mubarak, 38, 3, 132
ChukwuemekaAham, chukwuemeka, 74, 90, 228
Bolajiomo99, Bolaji Jimoh Adigun , 82, 6, 75
dejiborewa, Ayodeji Akinborewa, 21, 6, 246
oakinogundeji, 'Muyiwa Akin-Ogundeji, 43, 19, 415
Way4ward17, Adefuwa Oluwaponmile Hussein, 65, 16, 173
Shamoo100, Shamsudeen Bashir Suleiman, 59, 7, 27
Youngtard, Femi Sotonwa, 26, 14, 72
Tekhunt, Chiazam Ochiegbu, 77, 6, 299
Bennykillua, NoName, 54, 38, 725
Sam-wyre, awaken, 19, 5, 31
frontEndDoctor, Maybell Obadoni, 48, 9, 100
Herrnurt, Oladipo Bolaji John, 45, 24, 118
ty1cube, Azeez Akinsola, 143, 18, 163
Aminah92, Amina Mardiyyah Rufai, 25, 29, 204
PeacePeters, Peace Peters, 17, 4, 741
DataScienceNigeria, DataScience Nigeria, 58, 162, 150
bimbomuri, Abimbola Muritala, 25, 10, 200
vangelis-michael, Vangelis Michael Oden, 26, 6, 108
francisatoyebi, Francis Adedayo Atoyebi, 24, 10, 150
ajalamarvellous, Ajala Marvellous, 27, 23, 351
Asendo316, Ibikunle Adeoluwa, 35, 11, 36
profmcdan, Daniel Ale, 253, 54, 734
Tee-A, TEMILOLA ONANEYE, 45, 4, 54
cisco00, Ikwu Idoko Francis, 61, 12, 207
marquisvictor, Victor E. Irekponor, 107, 57, 406
opethaiwoh, Adeniran Opeyemi Taiwo, 10, 4, 121
EyimofeP, Eyimofe Ayo Pinnick, 36, 7, 183
JoE11-y, JoeEdoh, 137, 5, 560
grace235, Grace Omojola, 19, 5, 47
OtuokereTobechukwu, Toby_py, 21, 6, 57
adewoleopeyemi, Adewole Opeyemi, 49, 12, 210
Neo-glitch, Nweke Onyekachukwu, 113, 10, 411
instabaines, Ridwan Amure, 41, 5, 204
kosi-so, Kosisochukwu Akaeze, 28, 4, 82
Freemanlabs, Charles Yusuf, 11, 4, 103
Olamilekan002, Olamilekan Omotosho, 41, 14, 842
Freeman-md, Freeman Madudili, 38, 4, 446
WilliamsEfe, Williams Mishael Efe, 53, 0, 26
EnochAy, Enoch Ayomide, 84, 6, 415
oluwatosin-ctrl,  Oluwatosin Mofikoya, 46, 3, 154
Nickyben, Nicholas Ikechukwu , 13, 54, 82
egenius01, Emmanuel Omoragbon, 34, 2, 128
osabobo, osagie eboigbe, 30, 2, 346
ire-mide1, Oyelaja Iremide, 35, 4, 89
philipoladimeji, Philip Oladimeji, 27, 0, 40
Augusta02, Alokam Chinenye Augusta, 36, 20, 208
nuel-d1, Emmanuel Dickson, 15, 1, 54
Masstee, Taiwo O. Fatokun, 22, 0, 21
bussy-lere, ODUKOYA  Oluwabusayo Aduralere, 33, 0, 69
propersam, Samuel Ameh, 75, 14, 480
abseejp, Abraham Enyo-one Musa, 38, 8, 66
popoolaio, Popoola Isiaka Olamilekan, 49, 7, 58
toludoyin, Toludoyin Shopein, 14, 3, 708
PyBrown, Anuola Osinaike, 10, 15, 233
lawallanre00490038, Lawal Olanrewaju Israel, 49, 4, 1034
successgilli, Awaji-mitop N. Gilbert, 61, 3, 406
kamalkorede, Kamaldeen Adekola, 14, 0, 32
ayodavidjohn, David John, 24, 15, 14
bellomusodiq, Mayowa Bello, 86, 20, 620
nathphoenix, Akinwunmi Nathaniel, 33, 6, 181
Akawi85, Akawi, 15, 2, 77
ugoiloh, Miracle Iloh, 33, 0, 203
AdepojuJeremy, airs., 56, 3, 7
Ade-Adeleke, Moshood Adekunjo, 17, 1, 47
damylusi, Damilola Omolusi, 13, 1, 58
vonvick, Victor Nwaiwu, 58, 7, 45
abolade56, Ethanol, 2, 4, 2
Torough, Gabriel Chichi, 13, 9, 20
stephen-01, Akintoye Oluwole Stephen, 9, 2, 11
Enyhola, Eniola Ajegbemika, 7, 1, 16
vikthour, Victor Ibukunoluwa Adeife, 25, 1, 82
AyobamiAdebesin, Ayobami Adebesin, 72, 9, 2893
BolaBen, Bolanle egbedokun, 85, 4, 103
Oluwadurotimi10, Mojolaoluwa, 30, 3, 123
gbengaoj, Gbenga Ojo, 26, 2, 43
oluwatobij4, Olutade, 8, 3, 23
Zikaelson,  Olaoluwa Ezekiel JOAQUIM, 19, 3, 36
Fluxgate-Technologies-NG, Fluxgate Technologies NG, 18, 2, 6
kelvin006, Kelvin Odigili, 9, 3, 54
ovowiny, Ogheneovo Idoghor, 17, 0, 27
zuruoke, Zuruoke Okafor, 75, 20, 268
gsamtech, GBENRO SAMUEL TOSIN, 5, 2, 9
lizodus, Elizabeth K. Odus, 34, 6, 401
Ibukun-Ogunnaike, Ibukunoluwa Ogunnaike, 17, 1, 52
donmonc, Emeka Obiefuna, 21, 3, 45
Khamaldeeen, Kamaldeen Ekundayo Aiyeleso, 43, 4, 11
Chidinma-U, Chidinma Ukaegbu, 7, 1, 24
adeolaalabi2017, NoName, 7, 0, 3
Geo-Paull, Oluwaseun Paul Dada, 36, 8, 144
kingrocfella, Kingsley, 18, 4, 105
tayustayus, Eyitayo, 8, 2, 17
OREJAH, Tech Thriver, 5, 2, 458
Shamoolytics, Shamoolytics, 4, 0, 1
Zion-Oladiran, Zeesmart, 15, 5, 78
ibbaba, IBrahim BaBa, 3, 4, 2
ob6854w, Bakare Oluwayemisi, 11, 1, 21
AA-Arnold, NoName, 34, 1, 263
tijanimustapha112, Tijani Mustapha, 8, 3, 13
Odanson, Samson Odan, 7, 0, 9
ifekeyz, Oluwaferanmi Micheal, 20, 0, 9
stevemine1, Steve Adams, 9, 0, 6
jadeoti, Deji Adeoti , 24, 3, 94
johngodday, Amakata John Godday, 32, 1, 341
MaryamFAJ, Maryam Fajobi, 23, 1, 52
faruq2021, Faruq, 32, 0, 76
chikeoparah, Chike Oparah, 3, 0, 0
Shegun93, Segun, 11, 0, 63
iChristwin, I. Christwin, 28, 9, 47
olayinka04, Aliu Robiu, 52, 1, 55
phillip1996, Phillip Ogbe, 19, 0, 37
lyricalbants, Emmanuel Ezeobidi, 16, 0, 23
M1369, Marvellous Bankole, 12, 2, 0
Bamy-dev, Rachael Olomo, 6, 3, 46
VanessaEzeoke, Vanessa Ezeoke, 18, 0, 34
AbisoyeAbidakun, NoName, 14, 1, 29
temimujidat, Bakare Temitayo Mujidat, 11, 2,0
iShow-ops, NoName, 5, 0, 25
lanreosuntoye, NoName, 3, 0, 5
nickmerah, Full-Stack Developer | Data Analyst | Machine Learning Researcher | Expert Reviewer, 12, 0, 39
jaburatta, Adegboyega Adesanya, 20, 2, 31
iamveso, Akpoveso Simon, 9, 3, 19
Black-sodiq, otubela sodiq, 3, 1, 15
Parpiechulla, Ayodeji Timilehin , 4, 0, 34
donkachii, Onyekachi David Nwakaihe, 19, 4, 46
osazeejedi, Osazee Jedidiah .O., 142, 11, 150
Taiwo2610, Taiwo Agunbiade, 6, 1, 12
jonathan-uk, jonathan_uk, 14, 1, 52
sule272005, Sule Inwunoba, 1, 0, 3
akin-ade, Akin Adejumo, 0, 0, 0
iyioladaniel, Iyiola Daniel Okikioluwa, 11, 2, 61
Tohceen, Tosin Ayodele, 22, 3, 0
mbciyouth, ADIGUN SUNDAY, 30, 10, 480
henrychuks002, Henry Chuks, 12, 0, 57
olusegun-omisakin, NoName, 2, 0, 13
dickson1913, Daniel Dickson, 2, 1, 11
Olumurewa, Adegun  Olumurewa., 12, 5, 34
lanreakinosuntoye, NoName, 7, 0, 23
eoderinde, Oderinde Taiwo Emmanuel, 7, 5, 5
ChidexCJ, Chidiebere Afamefuna, 14, 1, 50
Olawale-Ajayi, Olawale Ajayi, 19, 0, 54
olusegun18, Joseph, 5, 0, 72
canayokafor, Chinedu Anayokafor, 13, 0, 19
efosa20, Efosa Osazuwa, 3, 0, 13
King-Ogunnowo, Oluwaseyi Ogunnowo, 26, 0, 95
ayoadewuyia, Ayo Adewuyi, 1, 0, 2
bukky24, Ayemonisan Bukola, 11, 0, 32
Donarioo, DannonD, 1, 0, 4
Echefu-Charles, Echefu Charles, 12, 1, 25
Rasbiod, Ogunranti Rasaq, 0, 0, 0
fhuaddeterminas, Fhuad Balogun, 0, 0, 0
YomiJay007, Abayomi Jaiyesimi, 5, 0, 10
EdemaSammy, Samuel Edema, 6, 0, 31
olabode51, Olabode Emmanuel Odewole, 9, 0, 8
Savepeter2, Adekolu Peter , 13, 3, 56
tm-icezack, Charles isaac, 2, 0, 4
IamEhis, Ehis, 3, 0, 0
Arroak, Ridwanullahi Abdulrauf, 22, 1, 13
agbajames, James Agba, 4, 0, 4
amactivity, Ozonnadi Emmanuel, 3, 0, 2
Timmecom, EMMANUEL OLUYOYIN O., 7, 0, 12
ProData-Emmanuel, Okeke Emmanuel, 5, 2, 29
ifyojoh, Ifeanyi Ojoh, 0, 0, 0
aljebraschool, aljebra school, 12, 7, 64
ugochukwuonyeri, Ugochukwu Onyeri, 0, 1, 0
Oladele01, Oladele  Segun Olabanji, 5,0, 0
Lagosbuild, NoName, 1, 2, 1
emmanuel-maraks, Emmanuel Marakwe-Ogu, 2, 1, 5
leumasconcept, Leumas, 2, 1, 3
OluwasogoJer, Oluwasogo, 8, 0, 7
ogedegbemaurice, Maurice Ogedegbe, 2, 0, 9
SureCorp, SureCorp, 0, 0, 0
HulkOfKnowledge, (HulkOfKnowledge)Ifebueme Daniel, 10, 1, 182
VVS-MICH, Michael Adeoye, 4, 1, 5
codewithot, Victory, 18, 0, 30
Judetheory, Jude Tochukwu Ogbozor, 11, 0, 22
MichaelAdelusi, michael, 5, 0, 9
techgrandmaster, Abiola Omolaja, 1, 0, 4
GYRO-Design-Lab, GYRO Design Lab, 1, 0, 0
Collinseagle, Collins Eagle, 0, 0, 0
NellyIkn, Nelly Leramah, 1, 0, 3
Ateiza, Ateiza Ilyas Itopa, 1, 0, 1
bengafa, Gbenga Fola-Alade, 1, 0, 3
dominicchinedu,  Innocent, 3, 0, 4
cell245, CELESTINE CHUKWUDI EZE, 3, 0, 6
eniolasonowo, 0xEniola, 48, 66, 11
EdemGold, Edem Gold, 88, 43, 251
JUGG097, Adeoluwa Adeboye, 58, 84, 728
philipszdavido, Chidume Nnamdi, 288, 112, 206
Micah-Shallom, Micah Shallom Bawa, 123, 126, 1143
okibeogezi, NoName, 1, 0, 1
sire-ambrose, Ambrose Ikpele, 48, 15, 205
temmyzeus, Temiloluwa Awoyele, 60, 20, 648
fayimora, Fayi FB, 190, 192, 2233
ultranet1, ALARAN IBRAHIM, 62, 9, 347
blackhat-coder, AbohI, 38, 16, 185
elotech47, Eloghosa Ikponmwoba, 32, 11, 134
jideilori, Oluwaseun Ilori, 33, 10, 186
SantosBright, Santos Bright, 31, 16, 271
AbimbolaOO, Olayemi Abimbola, 21, 6, 141
Abubakarharuna10, Abba Haruna, 113, 9, 143
Precillieo, Precious Kolawole, 48, 82, 443
Tele582, MoteleJesu Olamilekan, 22, 4, 214
Judithcodes, JUDITH NJOKU, 452, 37, 57
rossi2018, Rossi Otali, 125, 32, 47
gomagwu, Gabriel Omagwu, 8, 6, 34
chemicoPy, Victor Ogunjobi, 45, 13, 1047
atehe, Stephen Atehe, 18, 22, 279
ismailnurudeen, Ismail Nurudeen, 84, 17, 359
OyinOlamide, Oyinkansola Awosan, 29, 11, 61
HarbdhulQuadri, Abdulquadri Adegbiji, 109, 24, 245
davidenoma, David Enoma, 87, 55, 529
Abbey-commit, Abiodun Adebisi, 58, 2, 84
danielAdama, Daniel Enemona Adama, 47, 16, 381
SamyySwift, Samuel Okon, 39, 14, 278
Idowuilekura, Idowu Oselumhe Ilekura, 100, 4, 120
oyewunmio, oyewunmi oluwaseyi, 54, 22, 181
believeohiozua, Believe Ohiozua, 76, 14, 204
danielson147, Olalekan Ayinde, 27, 1, 33
iPablo26, Peter 'Pablo' Okwukogu, 27, 18, 167
ctoanadu, Chukwudi To-Anadu, 14, 10, 85
JacobNewton007, Jacob Newton, 45, 3, 45
Bee0933, Nyah Best , 36, 12, 130
blessingodede, Guembe Blessing, 42, 5, 141
Abbaraees, Muhammad Lawal, 27, 4, 180
vincycode7, Akinwande Gbenga Vincent, 91, 9, 610
CaptainVee, Victor Joseph, 63, 5, 105
iyinolu, Paul Osinowo, 34, 10, 345
dee-hub, Salako Oluwadolapo, 60, 3, 103
ajulohassankehinde, Hassan Kehinde AJULO, 30, 2, 57
C4LEB-ai, CALEB CHIMA C, 21, 4, 129
philipobiorah, PHILIP OBIORAH, 105, 13, 331
yomaokobiah, Ogheneyoma Obomate Okobiah, 21, 49, 21
BayoOlawumi, Olawumi Abayomi , 41, 18, 104
regchukwuka, R. Chukwuka Molokwu, 19, 2, 47
ChrisOmeh, ChrisOmeh, 66, 5, 118
Dhareey, NoName, 28, 0, 62
nasirudeenraheem, Raheem Nasirudeen Adeleye, 52, 96, 142
codesInML, Ifeoluwa Olubo, 48, 19, 459
tijesunimiolashore, Tijesunimi Olashore, 34, 1, 254
chuka19952, ONUOHA JUSTICE CHUKWUKA  , 27, 6, 67
abono2000, Olanrewaju Ahmed, 69, 9, 17
mbagozpel, Mba Gozpel, 13, 6, 20
samie-hash, Samuel Oseh , 11, 6, 93
DanielNwaeze, Daniel Nwaeze, 8, 10, 60
Jolomi-Tosanwumi, Jolomi Tosanwumi, 13, 7, 200
ibromodzi, Ibraheem Dhikrullah, 15, 0, 68
pydawud, Abdullahi Dauda Sani, 24, 1, 84
bugaje, Aliyu Isah, 19, 11, 53
yinde0, Saad Salami, 32, 0, 46
AbooMardiiyah, Hamzat Tiamiyu Ustaz, 75, 0, 69
uchennayah, uchennayah, 15, 4, 28
tijazz, Tijani Abdulazeez Titilope, 21, 4, 76
Lecon-a, Sunday P. Afolabi, 64, 6, 165
priye-1, Tamunopriye, 12, 4, 32
Susan-creator, Susan Owoicho, 15, 0, 16
brightoibe, Bright Ibezim, 20, 8, 19
RufixDuke, NoName, 21, 12, 410
abioludipe, ABIMBOLA OLUDIPE, 13, 0, 41
DrDev-Py, Chukwunonso E. Chukwumaeze, 29, 26, 192
sprucetonye, Tonye Samuel Waribo, 64, 2, 70
king-tomi, Ayodabo Oluwatomisin , 37, 19, 186
hemhemoh, Mardiyyah Oduwole, 44, 4, 91
Uncle-Swipa, Oluwafemi Akinyele, 11, 0, 20
sarbol, Yusuf Saburi, 17, 0, 40
sambonuruddeen, Nuruddeen Sambo, 85, 6, 220
David-gbenga, KOLAWOLE DAVID OLANIPEKUN, 22, 5, 30
Mellow-py, Mellow, 15, 1, 35
yajitersoo, Yaji Tersoo, 18, 0, 15
gregjava, GregJava, 8, 3, 287
Francisop, NoName, 37, 2, 280
UgoAnalytics,  Uwazuruike Ugochukwu , 35, 1, 3
ardor090, Olumide Ogundeji, 9, 0, 14
dannyokec, DANIEL OKECHUKWU, 14, 52, 24
olanrewajurasheed, Olanrewaju Rasheed , 45, 2, 159
OladimejiDMJ, Oladimeji Sulaiman, 26, 0, 59
moreira-presh, PRECIOUS OREKHA OZEMOYA, 17, 4, 62
AbrahamOssai, Ifeanyichukwu Abraham Ossai, 40, 2, 205
chukstobi, Tobi Chuks, 17, 10, 36
Onyinye91-ctrl, Sandra, 70, 6, 141
maximusjx, NoName, 17, 0, 32
DPDanba, DPDanba, 2, 1, 0
Smartking1, Ibekwe Kingsley, 12, 1, 22
jayanwana, Anwana John, 28, 6, 342
posi-olomo, Olomo Ayooluwaposi, 14, 13, 70
abdulazeezoj, Abdulazeez Jimoh, 4, 3, 30
Demuirge, Timothy Okonkwo, 1, 2, 1
Obinnajude, Jude Obinna, 24, 3, 205
meeshcodile, misheal, 22, 9, 104
eyzra, Eyzra, 8, 0, 26
tahheel, taheel, 7, 0, 13
Mofetoluwa, Mofe Adeyemi, 12, 10, 32
Veraemereuwa, Vera Uzoamaka Emereuwa, 13, 4, 57
brendelo, Brendan Odigwe, 7, 2, 99
azconcept-droid, Yahaya Azeez Adebayo, 33, 1, 1935
khybrahim, NoName, 1, 5, 1
temiloluwaalabi, Alabi Temiloluwa Emmanuel, 30, 0, 105
horlahsunbo, NoName, 8, 0, 24
hikmah94, Shehu Ibrahim Muhammad, 94, 1, 176
AdesholaAfolabi, Adeshola Afolabi, 20, 14, 130
sakinatfolorunso, Dr Sakinat Folorunso , 8, 0, 7
cassandraeguakun, CassyE, 8, 2, 640
NonMundaneDev, Stephen F. Oladele, 32, 3, 53
PsalmsJava, Psalms Inyang, 9, 6, 8
pharouhk, Gbadamosi Farouk , 7, 0, 103
pacifier7, ADEGOKE OLASUNKANMI DANIEL, 11, 0, 79
Ekeopara-Praise, Praise Ekeopara, 30, 7, 282
Starlyvil, Ndifreke Matthew Essien, 2, 7, 2
amaechichisom, Amaechi Chisom, 33, 9, 120
ezekieltech, Ezekiel, 58, 2, 391
kehindeadigun, Kehinde Adigun, 12, 3, 96
lerematics, Olalere Quadri, 7, 0, 6
Aerocedi, Peter Abosede, 14, 4, 33
El-amin, Aminu Musa, 9, 1, 6
makinwaolusegun, Olusegun Makinwa, 5, 0, 3
aybash, Bashiru, 12, 4, 42
elishadammie, Elisha Isarinde, 5, 2, 8
SOG-AI, Olalekan .U Raheem, 7, 0, 6
JoyUgoyah, Joy Ugoyah, 19, 7, 81
chucksdaniel, Chukwuma Daniel, 23, 3, 89
IsikawilliamXY, Isika William, 4, 4, 7
benarems, Benjamen Aremu, 17, 0, 23
cheif-99, Oni Abdulazeez Babalola, 6, 0, 13
Daniellaamba, Daniella Ojekere, 54, 1, 10
abmuhammad2, Mustapha Muhammad, 9, 1, 15
uche1995, Uchechukwu, 15, 0, 3
Emmylad4, Emmanuel Aransiola, 2, 0, 1
yemitefs, Akangbe Olayemi, 5, 1, 43
quadribello, Quadri Bello, 4, 3, 20
Nnamaka, Dike Nnamaka, 43, 12, 1186
Mariamtemi, Atoyebi Temitope mariam, 20, 2, 49
tadedoyinsola, Tolulope Oladeji, 14, 5, 45
Cemaster016, Adeniyi Olaolu Peter, 2, 6, 1
Dio-plutus, Ibukunoluwa Olatunji, 91, 0, 20
The-Professor99, Ihechi Festus, 20, 3, 224
abdulmabdulfata, Abdullahi Abdul-Fatah, 4, 0, 5
gabrielelufidodo, NoName, 4, 0, 0
elsunais6167, Yusha'u El-Sunais Sani, 18, 1, 111
Igba4cash, Chikelue Nwabuike, 1, 4, 9
